,company_name,old,total_employees,cities,type,industry,rating
132,Sayaji Industries, 83 years old , 1k-5k Employees ,Ahmedabad,Public,Agro Chemicals,3-4
133,Blue Dart Express, 41 years old , 10k-50k Employees ,Ahmedabad,Public,Logistics,4-5
134,Finecure Pharmaceuticals, 19 years old , 201-500 Employees ,Ahmedabad,Public,Pharma,3-4
135,Adani Transmission, 11 years old , 501-1k Employees ,Ahmedabad,Public,Real Estate,3-4
136,Shah Alloys, 34 years old , 1k-5k Employees ,Ahmedabad,Public,Iron & Steel,2-3
137,Cholamandalam Investment & Finance, 46 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Nbfc,4-5
138,Ujjivan Small Finance Bank, 7 years old , 10k-50k Employees ,Ahmedabad,Public,Banking,4-5
139,Stelmec, 40 years old , 501-1k Employees ,Ahmedabad,Public,Electronics Manufacturing,3-4
140,LG Electronics, 66 years old , 1k-5k Employees ,Ahmedabad,Public,Consumer Electronics & Appliances,4-5
141,Nestle, 65 years old , 5k-10k Employees ,Ahmedabad,Public,Food Processing,4-5
142,SKF, 101 years old , 1k-5k Employees ,Ahmedabad,Public,Auto Components,3-4
143,Tata Capital, 17 years old , 5k-10k Employees ,Ahmedabad,Fortune India 500,Nbfc,4-5
144,Cera Sanitaryware, 44 years old , 1k-5k Employees ,Ahmedabad,Public,Building Material,4-5
145,Osia Hypermart, 10 years old , 51-200 Employees ,Ahmedabad,Public,Retail,3-4
146,Windsor Machines, 61 years old , 501-1k Employees ,Ahmedabad,Public,Industrial Machinery,3-4
147,Vistaprint, 12 years old , 1k-5k Employees ,Ahmedabad,Startup,Internet,3-4
148,Bandhan Bank, 23 years old , 50k-1 Lakh Employees ,Ahmedabad,Public,Banking,3-4
149,Manappuram Finance, 75 years old , 10k-50k Employees ,Ahmedabad,Public,Nbfc,3-4
150,State Bank of India, 218 years old , 1 Lakh+ Employees ,Ahmedabad,Fortune India 500,Banking,3-4
151,Mahindra & Mahindra, 79 years old , 1 Lakh+ Employees ,Ahmedabad,Public,Automobile,4-5
152,Motilal Oswal Financial Services, 37 years old , 10k-50k Employees ,Ahmedabad,Public,Financial Services,3-4
153,Havells, 41 years old , 5k-10k Employees ,Ahmedabad,Public,Electrical Equipment,4-5
154,Bureau Veritas, 196 years old , 1k-5k Employees ,Ahmedabad,Forbes Global 2000,Other,3-4
155,Scanpoint Geomatics, 32 years old , 51-200 Employees ,Ahmedabad,Public,It Services & Consulting,3-4
156,PwC, 144 years old , 10k-50k Employees ,Ahmedabad,Conglomerate,Management Consulting,3-4
157,Indian Army, 129 years old , 1 Lakh+ Employees ,Ahmedabad,Public,Defence & Aerospace,4-5
158,Thermax Limited, 58 years old , 1k-5k Employees ,Ahmedabad,Public,Industrial Machinery,4-5
159,InterGlobe Aviation, 19 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Aviation,3-4
160,CMS IT Services, 10 years old , 5k-10k Employees ,Ahmedabad,Startup,It Services & Consulting,3-4
161,Reliance Communications, 22 years old , 201-500 Employees ,Ahmedabad,Public,Telecom,3-4
162,Procter & Gamble, 187 years old , 1k-5k Employees ,Ahmedabad,Public,Fmcg,4-5
163,CareEdge Ratings, 31 years old , 501-1k Employees ,Ahmedabad,Public,Financial Services,2-3
164,UNO Minda, 66 years old , 201-500 Employees ,Ahmedabad,Fortune India 500,Auto Components,4-5
165,Sakar Healthcare, 20 years old , 51-200 Employees ,Ahmedabad,Public,Pharma,3-4
166,McDonald's, 69 years old , 1k-5k Employees ,Ahmedabad,Forbes Global 2000,Hospitality,4-5
167,Tata Teleservices, 28 years old , 201-500 Employees ,Ahmedabad,Public,Telecom,4-5
168,Godrej & Boyce Manufacturing, 127 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Consumer Electronics & Appliances,3-4
169,Muthoot Finance, 85 years old , 10k-50k Employees ,Ahmedabad,Public,Nbfc,3-4
170,V-Trans, 66 years old , 1k-5k Employees ,Ahmedabad,Public,Logistics,4-5
171,Narayana Health, 24 years old , 10k-50k Employees ,Ahmedabad,Fortune India 500,Healthcare,4-5
172,Brilworks, 5 years old , 51-200 Employees ,Ahmedabad,Startup,Software Product,4-5
173,Blue Star, 81 years old , 1k-5k Employees ,Ahmedabad,Public,Consumer Electronics & Appliances,4-5
174,Exide Industries, 77 years old , 5k-10k Employees ,Ahmedabad,Public,Auto Components,3-4
175,Rushil Decor, 30 years old , 501-1k Employees ,Ahmedabad,Public,Building Material,4-5
176,Secure Meters, 37 years old , 1k-5k Employees ,Ahmedabad,Public,Electronics Manufacturing,4-5
177,Thomson Reuters, 16 years old , 5k-10k Employees ,Ahmedabad,Forbes Global 2000,Software Product,4-5
178,Yudiz Solutions, 13 years old , 201-500 Employees ,Ahmedabad,Public,Software Product,3-4
179,5Paisa Capital Limited, 9 years old , 501-1k Employees ,Ahmedabad,Public,Financial Services,3-4
180,Lumax Industries, 79 years old , 1k-5k Employees ,Ahmedabad,Public,Auto Components,3-4
181,Meghmani Industries, 38 years old , 1-10 Employees ,Ahmedabad,Public,Agro Chemicals,3-4
