,company_name,company_rating,old,total_employees,cities,type,industry
170,Wipro Consumer Care & Lighting,3.9, 79 years old , 1k-5k Employees , New Delhi +96 more,,
171,Schlumberger,4.1, 98 years old , 5k-10k Employees , New Delhi +27 more, Forbes Global 2000 ,Oil & Gas 
172,XpressBees,3.8, 9 years old , 5k-10k Employees , New Delhi +238 more, Indian Unicorn ,Logistics 
173,Fiat India Automobiles,3.7, 27 years old , 1k-5k Employees , Pune +18 more,,
174,Kirloskar Oil Engines,4.2, 78 years old , 1k-5k Employees , New Delhi +88 more, Public ,Industrial Machinery 
175,Endurance Technologies,3.9, 39 years old , 1k-5k Employees , New Delhi +38 more, Public ,Auto Components 
176,Exela Technologies,3.6, 13 years old , 1k-5k Employees , New Delhi +20 more,,
177,Bluestream Software Solution,4.7,, 1k-5k Employees , New Delhi +8 more,,
178,Onward Technologies Inc,3.2, 33 years old , 1k-5k Employees , New Delhi +60 more, Public ,Software Product 
179,Kirloskar Pneumatic,4.2, 66 years old , 501-1k Employees , New Delhi +12 more, Public ,Industrial Machinery 
180,LG Electronics,4.1, 66 years old , 1k-5k Employees , Pune +246 more, Public ,Consumer Electronics & Appliances 
181,Wipro Enterprises Ltd,3.9, 79 years old , 501-1k Employees , Pune +102 more,,
182,DataMetica,3.8, 11 years old , 501-1k Employees , Pune +3 more,,
183,Coforge,3.5, 20 years old , 10k-50k Employees , Pune +87 more, Public ,IT Services & Consulting 
184,Magna International,4.0, 67 years old , 501-1k Employees , Pune +18 more, Public ,Auto Components 
185,Mahindra Logistics,4.1, 24 years old , 1k-5k Employees , Pune +133 more, Public ,Logistics 
186,Volkswagen,4.2, 23 years old , 1k-5k Employees , Pune +94 more, Forbes Global 2000 ,Automobile 
187,Indian Army,4.7, 129 years old , 1 Lakh+ Employees , Pune +326 more, Public ,Defence & Aerospace 
188,Leadec India,4.0, 62 years old , 1k-5k Employees , Pune +51 more,,
189,Nexdigm,3.5,, 1k-5k Employees , Pune +10 more,,
190,Agrostar,4.0, 11 years old , 1k-5k Employees , Pune +36 more, Startup ,Internet 
191,Aloha Technology,3.4, 21 years old , 501-1k Employees , Pune +12 more,,
192,Neilsoft,3.7, 31 years old , 1k-5k Employees , Pune +8 more,,
193,JLL,4.2, 25 years old , 10k-50k Employees , Pune +70 more, Forbes Global 2000 ,Real Estate 
194,Fresenius Kabi,4.2, 25 years old , 1k-5k Employees , Pune +56 more,,
195,Xdbs,3.3, 12 years old , 1k-5k Employees , Pune +3 more,,
196,Lear Corporation,4.1, 107 years old , 1k-5k Employees , Pune +16 more, Public ,Auto Components 
197,Ericsson,4.3, 148 years old , 10k-50k Employees , Pune +151 more, Forbes Global 2000 ,Telecom 
198,DMart,4.0, 22 years old , 10k-50k Employees , Pune +213 more, Fortune India 500 ,Retail 
199,Brembo Brake India,4.4, 19 years old , 501-1k Employees , Pune +15 more,,
200,IndusInd Bank,3.7, 30 years old , 10k-50k Employees , Pune +689 more, Public ,Banking 
201,Wolters Kluwer,3.9, 188 years old , 1k-5k Employees , Pune +10 more, Forbes Global 2000 ,IT Services & Consulting 
202,Neeyamo Enterprise Solutions,3.7, 15 years old ,1k-5k Employees , Pune +9 more,,
203,IDFC FIRST Bank,4.0, 6 years old , 10k-50k Employees , Pune +588 more, Public ,Banking 
204,Saama Technologies,3.7, 27 years old , 201-500 Employees , Pune +5 more,,
205,Northern Trust,3.8,, 5k-10k Employees , Pune +15 more,,
206,British Petroleum,3.8, 115 years old , 1k-5k Employees , Pune +10 more, Forbes Global 2000 ,Oil & Gas 
207,PTC,4.2, 39 years old , 1k-5k Employees , Pune +37 more, Public ,Software Product 
208,Kirloskar Brothers,4.1, 136 years old , 1k-5k Employees , Pune +57 more, Public ,Industrial Machinery 
209,HDFC Life,4.1, 24 years old , 10k-50k Employees , Pune +563 more, Public ,Insurance 
210,Volkswagen Group Technology Solution,3.8, 8 years old , 1k-5k Employees , Pune +3 more,,
211,Deenanath Mangeshkar Hospital,4.2, 23 years old , 11-50 Employees , Pune +7 more,,
212,Automatic Infotech,4.5, 19 years old , 1k-5k Employees , Pune +8 more,,
213,VSynergize Outsourcing,4.1, 23 years old , 201-500 Employees , Pune,,
214,Mercedes-Benz Research & Development India,4.0, 28 years old , 5k-10k Employees , Pune +47 more, Public ,IT Services & Consulting 
215,Ubisoft Entertainment,4.0, 38 years old , 1k-5k Employees , Pune +5 more,,
216,Suroj Buildcon,4.2, 11 years old , 1k-5k Employees , Pune +36 more,,
217,NeoSOFT,4.0, 28 years old , 1k-5k Employees , Pune +20 more,,
218,Evolent Health International,3.9, 13 years old , 501-1k Employees , Pune +2 more, Public ,Software Product 
219,Tetra Pak,4.2, 37 years old , 1k-5k Employees , Pune +13 more, Fortune India 500 ,Packaging 
220,Tudip Technologies,3.3, 14 years old , 501-1k Employees , Pune +3 more,,
221,Evision Technoserve,4.7, 12 years old , 51-200 Employees , Pune +63 more,,
222,Citibank,4.0, 212 years old , 10k-50k Employees (Global) , Pune +47 more, Fortune India 500 ,Banking 
223,Emerson Electric Co.,4.2, 134 years old , 5k-10k Employees , Pune +24 more, Public ,IT Services & Consulting 
224,BigBasket,4.0, 13 years old , 10k-50k Employees , Pune +116 more, Indian Unicorn ,Internet 
225,Sahyadri Hospital,4.3, 20 years old , 1k-5k Employees , Pune +6 more,,
226,TIBCO Software,3.8, 27 years old , 1k-5k Employees , Pune +7 more,,
227,Eaton India Innovation Center,4.1,, 1k-5k Employees , Pune +1 more,,
228,ITC Infotech,3.8, 24 years old , 10k-50k Employees , Pune +55 more,,
229,MAHLE Behr India,4.1, 27 years old , 1k-5k Employees , Pune +8 more,,
230,Kalyani Technoforge,4.1, 45 years old ,1k-5k Employees , Pune +14 more,,
231,UltraTech Cement,4.2, 41 years old , 10k-50k Employees , Pune +433 more, Public ,Building Material 
232,Philips,3.9, 94 years old , 5k-10k Employees , Pune +84 more, Forbes Global 2000 ,Consumer Electronics & Appliances 
233,Kolte Patil Developers,4.1, 33 years old , 1k-5k Employees , Pune +8 more, Public ,Real Estate 
234,Wipro Infotech,4.0, 79 years old , 1 Lakh+ Employees (Global) , Pune +118 more,,
235,Startek,3.3, 7 years old , 10k-50k Employees , Pune +72 more, Public ,BPO 
236,HCL Group,3.8, 48 years old , 1 Lakh+ Employees , Pune +74 more,,
237,Springer Nature,4.0, 182 years old , 1k-5k Employees , Pune +3 more,,
238,Fleetguard Filters,4.2, 37 years old , 1k-5k Employees , Pune +68 more,,
239,Systems Plus,4.3, 37 years old , 201-500 Employees , Pune +8 more,,
240,e-Zest,4.1, 24 years old , 1k-5k Employees , Pune +2 more, Public ,IT Services & Consulting 
241,Sandvik Asia,4.3, 162 years old , 10k-50k Employees (Global) , Pune +34 more,,
242,Bosch,4.3, 138 years old , 5k-10k Employees , Pune +103 more, Public ,Auto Components 
243,Quess,4.0, 17 years old , 1k-5k Employees , Pune +542 more, Public ,BPO 
244,SLK Global Services,3.9, 24 years old , 1k-5k Employees , Pune +9 more,,
245,Yes Bank,3.9, 20 years old , 10k-50k Employees , Pune +447 more, Public ,Banking 
246,Piaggio,3.7, 140 years old , 1k-5k Employees , Pune +70 more,,
247,ICICI Prudential Life Insurance,4.1, 24 years old , 10k-50k Employees , Pune +450 more, Public ,Insurance 
248,Apex Group,2.9, 21 years old , 1k-5k Employees , Pune +17 more,,
249,Sodexo,4.1, 16 years old , 10k-50k Employees , Pune +131 more, Forbes Global 2000 ,Facility Management Services 
250,CitiusTech,3.5, 19 years old , 1k-5k Employees , Pune +14 more, Indian Unicorn ,IT Services & Consulting 
251,METRO Global Solutions Center,4.0, 13 years old , 501-1k Employees , Pune +6 more, Public ,IT Services & Consulting 
252,Konecranes,4.1, 49 years old , 501-1k Employees , Pune +15 more,,
253,TCE,3.8, 62 years old , 5k-10k Employees , Pune +102 more,,
254,Valeo,4.1, 101 years old , 5k-10k Employees , Pune +19 more, Forbes Global 2000 ,Auto Components 
255,BVG India,4.0, 27 years old , 50k-1 Lakh Employees , Pune +92 more,,
256,Wipro PARI,3.6,,1k-5k Employees , Pune +17 more,,
257,Innoplexus,4.0, 9 years old , 201-500 Employees , Pune, Startup ,IT Services & Consulting 
258,Schindler,4.0,, 5k-10k Employees , Pune +63 more,,
259,Square Yards,3.8, 11 years old , 1k-5k Employees , Pune +42 more,,
260,Asian Paints,4.1, 82 years old , 5k-10k Employees , Pune +443 more, Public ,Chemicals 
261,Icertis,3.7, 15 years old , 1k-5k Employees , Pune +3 more, Indian Unicorn ,Software Product 
262,Citigroup,3.7, 212 years old , 10k-50k Employees , Pune +34 more, Forbes Global 2000 ,Banking 
263,NetCracker,3.0, 31 years old , 1k-5k Employees , Pune +8 more,,
264,Calsoft,3.2, 26 years old , 1k-5k Employees , Pune +6 more,,
265,Bajaj Housing Finance,3.8, 16 years old , 1k-5k Employees , Pune +122 more,,
266,Magneti Marelli Motherson Auto System,3.9, 16 years old , 11-50 Employees , Pune +16 more,,
267,TVS Supply Chain Solutions,4.0, 128 years old , 1k-5k Employees , Pune +133 more,,
268,Nvidia,4.1, 31 years old , 1k-5k Employees , Pune +9 more, Forbes Global 2000 ,Hardware & Networking 
269,Nyati Group,4.2, 27 years old , 501-1k Employees , Pune +10 more,,
270,Shaw Toyota,4.9, 7 years old , 11-50 Employees , Pune +2 more,,
271,Western Union,4.0, 173 years old , 1k-5k Employees , Pune +19 more, Forbes Global 2000 ,FinTech 
272,TSYS|Total System Services,4.4, 40 years old , 1k-5k Employees , Pune +7 more, Public ,Financial Services 
273,Ruby Hall Clinic,4.1, 65 years old , 201-500 Employees , Pune +6 more,,
