,company_name,company_rating,old,total_employees,cities,type,industry
220,Mahindra Logistics,4.1, 24 years old , 1k-5k Employees , Mumbai +133 more, Public ,Logistics 
221,Ergode IT Services,3.7, 18 years old , 501-1k Employees , Mumbai +8 more,,
222,AQM Technologies,3.4, 24 years old , 1k-5k Employees , Mumbai +9 more,,
223,Burns & McDonnell,4.4, 126 years old , 501-1k Employees , Mumbai +4 more,,
224,Raymond,4.1, 99 years old , 5k-10k Employees , Mumbai +128 more, Public ,Fashion & Textile 
225,HDFC Securities,3.7, 24 years old , 1k-5k Employees , Mumbai +158 more, Public ,Financial Services 
226,Parle Agro,3.1, 40 years old , 5k-10k Employees , Mumbai +195 more,,
227,DHL Supply Chain,4.3, 55 years old , 1k-5k Employees , Mumbai +79 more,,
228,Jaro Education,2.6, 15 years old , 1k-5k Employees , Mumbai +18 more,,
229,Viraj Profiles,3.9, 24 years old , 1k-5k Employees , Mumbai +21 more,,
230,Godrej Infotech,4.2, 25 years old , 501-1k Employees , Mumbai +18 more,,
231,Bank of Baroda,3.6, 116 years old , 50k-1 Lakh Employees , Mumbai +242 more, Fortune India 500 ,Banking 
232,Mahindra Finance,4.3, 33 years old , 10k-50k Employees , Mumbai +632 more, Public ,NBFC 
233,CMA CGM,4.0, 46 years old , 501-1k Employees , Mumbai +24 more,,
234,Reliance General Insurance,3.9, 24 years old , 5k-10k Employees , Mumbai +167 more,,
235,Fynd,3.6, 12 years old , 501-1k Employees , Mumbai +9 more, Public ,Internet 
236,MITS GLOBAL CONSULTING,4.6,, 201-500 Employees , Mumbai +9 more,,
237,McDonald's,4.2, 69 years old , 1k-5k Employees , Mumbai +138 more, Forbes Global 2000 ,Hospitality 
238,L&T Energy Hydrocarbon,3.9, 15 years old , 5k-10k Employees , Mumbai +70 more,,
239,Mswipe Technologies,3.2, 13 years old , 1k-5k Employees , Mumbai +80 more,,
240,IDBI Bank,3.7, 60 years old , 10k-50k Employees , Mumbai +267 more, Public ,Banking 
241,Royal Caribbean International,3.5, 55 years old , 501-1k Employees , Mumbai +18 more, Public ,Sports & Recreation 
242,Aditya Birla Sun Life Insurance,4.2, 24 years old , 10k-50k Employees , Mumbai +374 more,,
243,Max Life Insurance,4.2, 24 years old , 10k-50k Employees , Mumbai +402 more,,
244,AXIS MY INDIA,4.0, 26 years old , 51-200 Employees , Mumbai +15 more,,
245,Hindustan Petroleum,4.3, 50 years old , 5k-10k Employees , Mumbai +199 more,,
246,Caratlane Trading,4.3, 16 years old , 1k-5k Employees , Mumbai +55 more,,
247,Credit Suisse,4.3, 168 years old , 10k-50k Employees , Mumbai +10 more,,
248,Delhivery,4.0, 13 years old , 10k-50k Employees , Mumbai +632 more, Fortune India 500 ,Logistics 
249,SBI Securities,3.9, 18 years old , 5k-10k Employees , Mumbai +225 more,,
250,Indiabulls Home Loans,3.9, 19 years old , 5k-10k Employees , Mumbai +190 more, Public ,NBFC 
251,Datamatics Business Solutions,3.4, 42 years old , 1k-5k Employees , Mumbai +10 more, Public ,Management Consulting 
252,Harjai Computers,3.9, 29 years old , 201-500 Employees , Mumbai +11 more,,
253,DHL Global Forwarding,4.2, 209 years old , 501-1k Employees , Mumbai +20 more,,
254,Zycus Infotech,3.3, 23 years old , 1k-5k Employees , Mumbai +7 more,,
255,National Stock Exchange of India,3.7, 32 years old , 1k-5k Employees , Mumbai +30 more, Fortune India 500 ,Financial Services 
256,K Raheja Corp,4.3, 68 years old , 1k-5k Employees , Mumbai +16 more,,
257,BA Continuum,4.3, 21 years old , 1k-5k Employees , Mumbai +15 more,,
258,Go First,3.7, 19 years old , 1k-5k Employees , Mumbai +34 more, Public ,Aviation 
259,Best Sellers,4.2, 49 years old , 501-1k Employees , Mumbai +80 more,,
260,Bajaj Allianz Life Insurance,4.1, 23 years old , 10k-50k Employees , Mumbai +504 more,,
261,Worley,4.1, 53 years old , 5k-10k Employees , Mumbai +44 more,,
262,JM Financial,3.8, 40 years old , 1k-5k Employees , Mumbai +59 more, Public ,Financial Services 
263,IIT Bombay,4.6, 66 years old , 501-1k Employees , Mumbai +10 more, Public ,Education & Training 
264,Carnival Cruise Lines,4.5, 52 years old , 1k-5k Employees , Mumbai +26 more, Public ,Sports & Recreation 
265,Hindalco Industries,4.3, 66 years old , 10k-50k Employees , Mumbai +89 more, Public ,Metals & Mining 
