,company_name,company_rating,old,total_employees,cities,type,industry
212,URC Construction,3.6, 68 years old , 1k-5k Employees , Indore +32 more,,
213,Rivigo,3.9, 10 years old , 1k-5k Employees , Indore +151 more, Indian Unicorn ,Internet 
214,BestPeers Infosystem,4.0, 7 years old , 51-200 Employees , Indore,,
215,Cummins,4.4, 105 years old , 1k-5k Employees , Indore +86 more, Fortune India 500 ,Industrial Machinery 
216,Arihant Capital Markets,3.4, 32 years old , 201-500 Employees , Indore +13 more, Public ,Financial Services 
217,Inwizards Software Technology,3.9, 11 years old , 51-200 Employees , Indore,,
218,Metro Cash & Carry,4.3, 21 years old , 1k-5k Employees , Indore +77 more, Forbes Global 2000 ,Retail 
219,Fincare Small Finance Bank,4.1, 17 years old , 10k-50k Employees , Indore +363 more,,
220,Sun Pharmaceutical Industries,4.1, 41 years old , 10k-50k Employees , Indore +207 more, Public ,Pharma 
221,Ways2Capital,3.8, 14 years old , 51-200 Employees , Indore +1 more,,
222,Human Matrix Securite,4.6,,,Indore +3 more,,
223,Parle Agro,3.1, 40 years old , 5k-10k Employees , Indore +195 more,,
224,Inox Leisure,4.1, 25 years old , 1k-5k Employees , Indore +86 more, Public ,Media & Entertainment 
225,VISTRA INTERNATIONAL EXPANSION,3.7, 32 years old , 501-1k Employees , Indore +3 more,,
226,VSN International,3.7, 24 years old , 51-200 Employees , Indore +2 more, Public ,IT Services & Consulting 
227,Aditya Birla Fashion and Retail,4.2, 36 years old , 10k-50k Employees , Indore +233 more, Fortune India 500 ,Fashion & Textile 
228,Tata AIG,4.1, 24 years old , 5k-10k Employees , Indore +222 more,,
229,Aakash Educational Services,3.6, 36 years old , 5k-10k Employees , Indore +213 more,,
230,Abbott,4.2, 136 years old , 10k-50k Employees , Indore +169 more, Public ,Pharma 
231,ESP Softtech Private Limited,4.9, 11 years old , 11-50 Employees , Indore,,
232,CloudLIMS Lab Solutions,4.4,,11-50 Employees , Indore +1 more,,
233,Mindlance,4.0, 25 years old , 1k-5k Employees , Indore +10 more,,
234,Dee Tee Industries,4.0, 49 years old , 1k-5k Employees , Indore,,
235,Duroflex,4.1, 61 years old , 501-1k Employees , Indore +36 more,,
236,Capri Global Capital,3.7, 27 years old , 1k-5k Employees , Indore +218 more, Public ,NBFC 
237,Croma,4.0, 18 years old , 5k-10k Employees , Indore +147 more,,
238,Medanta the Medicity,4.1, 15 years old , 5k-10k Employees , Indore +33 more,,
239,Muthoot Finance,3.6, 85 years old , 10k-50k Employees , Indore +645 more, Public ,NBFC 
240,Xerox,3.9,, 1k-5k Employees , Indore +33 more, Forbes Global 2000 ,IT Services & Consulting 
241,Rakuten,3.7, 27 years old , 1k-5k Employees , Indore +10 more, Forbes Global 2000 ,IT Services & Consulting 
242,Aavantika Gas,3.6, 18 years old , 51-200 Employees , Indore +4 more,,
243,AM Webtech,4.1, 9 years old , 51-200 Employees , Indore +1 more,,
244,Scientech Technologies,3.8, 41 years old , 201-500 Employees , Indore +5 more,,
245,Hindustan Coca Cola Beverages,4.3, 27 years old , 5k-10k Employees , Indore +214 more,,
246,Medi-Caps University,4.3,,, Indore,,
247,RBL Bank,3.8, 81 years old , 10k-50k Employees , Indore +226 more, Public ,Banking 
248,Cipla Industries,4.1, 26 years old , 11-50 Employees , Indore +29 more,,
249,Index Medical College Hospital & Research Center Indore,4.5,,,Indore +1 more,,
250,Brand Concepts,4.1, 25 years old , 501-1k Employees , Indore +12 more,,
251,Kusum Healthcare,4.0, 27 years old , 501-1k Employees , Indore +6 more,,
252,Suminter India Organics,3.8, 20 years old , 201-500 Employees , Indore +17 more,,
253,Syncom Formulations India,3.4, 18 years old , 201-500 Employees , Indore +2 more, Public ,Pharma 
254,Pinnacle Industries,4.0, 28 years old , 501-1k Employees , Indore +10 more,,
255,XpressBees,3.8, 9 years old , 5k-10k Employees , Indore +238 more, Indian Unicorn ,Logistics 
256,Berger Paints,3.8, 101 years old , 1k-5k Employees , Indore +261 more, Public ,Chemicals 
257,TriFid Research,1.9, 14 years old , 201-500 Employees (Global) , Indore,,
258,India Infotech,4.5,, 51-200 Employees , Indore +2 more,,
259,Punjab Jewels,4.0, 74 years old , 51-200 Employees , Indore,,
260,Dhani Loans and Services,3.9,, 1k-5k Employees , Indore +179 more,,
261,Pratap Technocrats,4.0, 26 years old , 10k-50k Employees , Indore +103 more,,
262,Flexituff Ventures International,3.9, 58 years old , 51-200 Employees , Indore +10 more, Public ,Packaging 
263,Blue Star,4.1, 81 years old , 1k-5k Employees , Indore +133 more, Public ,Consumer Electronics & Appliances 
264,ValueLabs,3.9, 27 years old , 5k-10k Employees , Indore +16 more,,
265,Maral Overseas,3.6, 33 years old , 1k-5k Employees , Indore +11 more, Public ,Fashion & Textile 
266,Signet Industries,3.3, 39 years old ,501-1k Employees , Indore +18 more,,
267,PVR Cinemas,4.1, 27 years old , 1k-5k Employees , Indore +107 more, Public ,Media & Entertainment 
268,McW Healthcare,4.2, 36 years old ,51-200 Employees , Indore +3 more,,
269,Computronics Systems,4.0, 28 years old , 501-1k Employees , Indore +12 more,,
270,Gammastack,3.5, 12 years old , 201-500 Employees , Indore,,
271,Tech Mahindra,3.7, 38 years old , 1 Lakh+ Employees , Indore +269 more, Public ,IT Services & Consulting 
272,Hathway,3.7, 65 years old , 501-1k Employees , Indore +48 more,,
273,Case New-Holland Construction Equipment India,4.1, 182 years old , 51-200 Employees , Indore +35 more,,
274,Pushp Brand Spices,4.0,,51-200 Employees , Indore +25 more,,
275,Plantix Agritech,4.0, 9 years old ,, Indore +3 more,,
